title,budget,year,revenue,ratio,rating,production_company,abstract,url
Funny People,75000000,2009-07-31,61458982.0,1.2203261030259174,9.900376,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Relativity Media', 'id': 7295}, {'name': 'Apatow Productions', 'id': 10105}, {'name': 'Madison 23', 'id': 11708}]",Funny People (1977 film)}},https://en.wikipedia.org/wiki/Funny_People
Ali,107000000,2001-12-11,87713825.0,1.2198761141701437,9.303104,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",| title        = HaydarAbu TurabAl-Murtadha Amir al-Mu'minin,https://en.wikipedia.org/wiki/Ali
Dredd,50000000,2012-09-07,41037742.0,1.2183906219791527,12.1524,"[{'name': 'DNA Films', 'id': 284}, {'name': 'Reliance BIG Entertainment', 'id': 6733}, {'name': 'IM Global', 'id': 7437}, {'name': 'Rena Film', 'id': 46506}, {'name': 'Peach Trees', 'id': 46507}]",| screenplay     = Alex Garland,https://en.wikipedia.org/wiki/Dredd
Catwoman,100000000,2004-07-22,82102379.0,1.2179915030233168,13.340272,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'DiNovi Pictures', 'id': 813}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Frantic Films', 'id': 52945}, {'name': 'Maple Shade Films', 'id': 52946}, {'name': 'Catwoman Films', 'id': 52947}]","Catwoman (Selina Kyle) is a fictional character created by Bill Finger and Bob Kane who appears in American comic books published by DC Comics, commonly in association with Batman. Debuting as ""the Cat"" in Batman #1 (spring 1940), she is one of the Dark Knight's most enduring enemies and belongs to the collective of adversaries  that make up his rogues gallery.",https://en.wikipedia.org/wiki/Catwoman
Sky Captain and the World of Tomorrow,70000000,2004-09-17,57958696.0,1.2077566410396812,9.64113,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Natural Nylon Entertainment', 'id': 804}, {'name': 'Riff Raff Film Productions', 'id': 1668}, {'name': 'Filmauro', 'id': 4753}, {'name': 'Blue Flower Productions', 'id': 10671}, {'name': 'Brooklyn Films II', 'id': 10672}]",| writer         = Kerry Conran,https://en.wikipedia.org/wiki/Sky_Captain_and_the_World_of_Tomorrow
Mao's Last Dancer,25000000,2009-10-01,20719451.0,1.2065956766904682,1.8622150000000002,"[{'name': 'Great Scott Productions Pty. Ltd.', 'id': 2814}]",Mao's Last Dancer may refer to:,https://en.wikipedia.org/wiki/Mao%27s_Last_Dancer
That's My Boy,70000000,2012-06-14,58058367.0,1.2056832394200823,8.923755,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Happy Madison Productions', 'id': 2608}, {'name': 'Relativity Media', 'id': 7295}]",That's My Boy may refer to:,https://en.wikipedia.org/wiki/That%27s_My_Boy
Gremlins 2: The New Batch,50000000,1990-06-15,41482207.0,1.205336061314192,14.383185000000001,"[{'name': 'Amblin Entertainment', 'id': 56}, {'name': 'Warner Bros.', 'id': 6194}]",| music          = Jerry Goldsmith,https://en.wikipedia.org/wiki/Gremlins_2:_The_New_Batch
Casualties of War,22500000,1989-08-18,18671317.0,1.205056933048697,7.435688000000001,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",|director       = Brian De Palma,https://en.wikipedia.org/wiki/Casualties_of_War
EuroTrip,25000000,2004-02-20,20796847.0,1.2021052999043558,6.275468,"[{'name': 'DreamWorks SKG', 'id': 27}, {'name': 'The Montecito Picture Company', 'id': 2364}, {'name': 'Blue Sea Productions', 'id': 53012}]",| producer       =,https://en.wikipedia.org/wiki/EuroTrip
Two Brothers,74500000,2004-04-07,62172050.0,1.198287654983228,5.3003029999999995,"[{'name': 'Pathé Renn Productions', 'id': 866}, {'name': 'TF1 Films Production', 'id': 3823}, {'name': 'Canal+', 'id': 5358}, {'name': 'Pathe', 'id': 7396}, {'name': 'Two Brothers Productions', 'id': 19238}]",Two Brothers may refer to:,https://en.wikipedia.org/wiki/Two_Brothers
King Arthur: Legend of the Sword,175000000,2017-04-27,146175066.0,1.1971946022586368,44.251369,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Weed Road Pictures', 'id': 433}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Wigram Productions', 'id': 23202}, {'name': 'Safehouse Pictures', 'id': 25577}]",| screenplay     =,https://en.wikipedia.org/wiki/King_Arthur:_Legend_of_the_Sword
Swing Vote,21000000,2008-08-01,17600000.0,1.1931818181818181,5.204249,"[{'name': 'Touchstone Pictures', 'id': 9195}]",,
The Pledge,35000000,2001-01-09,29400000.0,1.1904761904761905,12.806633999999999,"[{'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Morgan Creek Productions', 'id': 10210}, {'name': 'Clyde Is Hungry Films', 'id': 12263}, {'name': 'Pledge Productions', 'id': 12264}]",,
What Dreams May Come,85000000,1998-10-02,71485043.0,1.1890599268437174,11.218378,"[{'name': 'PolyGram Filmed Entertainment', 'id': 1382}]",,
Oliver Twist,50000000,2005-09-23,42093706.0,1.187826037460327,12.369935,"[{'name': 'R.P. Productions', 'id': 355}, {'name': 'ETIC Films', 'id': 2979}, {'name': 'Runteam III Ltd.', 'id': 6732}]","Oliver Twist; or, the Parish Boy's Progress is Charles Dickens's second novel, and was published as a serial from 1837 to 1839 and released as a three-volume book in 1838, before the serialization ended. Introduction & Summary|encyclopedia=Encyclopedia Britannica|access-date=2018-04-04|language=en}} The story centres on orphan Oliver Twist, born in a workhouse and sold into apprenticeship with an undertaker.",https://en.wikipedia.org/wiki/Oliver_Twist
Jack Ryan: Shadow Recruit,60000000,2014-01-15,50549107.0,1.1869645887117255,11.234862,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Di Bonaventura Pictures', 'id': 435}, {'name': 'Mace Neufeld Productions', 'id': 2767}, {'name': 'Skydance Productions', 'id': 6277}, {'name': 'Etalon film', 'id': 9341}, {'name': 'Buckaroo Entertainment', 'id': 11250}]",| writer     =,https://en.wikipedia.org/wiki/Jack_Ryan:_Shadow_Recruit
Original Sin,42000000,2001-08-03,35402320.0,1.186362927627342,9.970359,"[{'name': 'Intermedia Films', 'id': 763}, {'name': 'DiNovi Pictures', 'id': 813}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Via Rosa Productions', 'id': 10103}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'UGC DA International', 'id': 76083}]",,
The Cold Light of Day,20000000,2012-04-04,16863583.0,1.1859875804566562,11.112153,"[{'name': 'Summit Entertainment', 'id': 491}, {'name': 'Intrepid Pictures', 'id': 1224}, {'name': 'Film Rites', 'id': 8083}, {'name': 'Galavis Film', 'id': 8084}, {'name': 'Picture Machine', 'id': 8085}, {'name': 'Fria Luz Del Dia, A.I.E.', 'id': 23625}]",The Cold Light of Day or Cold Light of Day may refer to:,https://en.wikipedia.org/wiki/The_Cold_Light_of_Day
Æon Flux,62000000,2005-11-30,52304001.0,1.1853777687102751,12.201912,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Lakeshore Entertainment', 'id': 126}, {'name': 'MTV Films', 'id': 746}, {'name': 'Colossal Pictures', 'id': 6041}, {'name': 'Valhalla Motion Pictures', 'id': 11533}, {'name': 'MTV Productions', 'id': 11534}]",| last_aired  =,https://en.wikipedia.org/wiki/%C3%86on_Flux
Meet Dave,60000000,2008-07-08,50650079.0,1.1845983497873716,11.542926,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Guy Walks into a Bar Productions', 'id': 2645}, {'name': 'Deep River Productions', 'id': 2646}, {'name': 'Friendly Films (II)', 'id': 81136}]",| writer         =,https://en.wikipedia.org/wiki/Meet_Dave
Escape from L.A.,50000000,1996-08-09,42277365.0,1.1826659490249687,12.229381,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Rysher Entertainment', 'id': 11661}]",| writer         =,https://en.wikipedia.org/wiki/Escape_from_L.A.
The Producers,45000000,2005-12-25,38058335.0,1.182395393807953,5.037224,"[{'name': 'Sony Pictures', 'id': 34}, {'name': 'Gaumont Columbia Tristar Films', 'id': 145}]",The Producers may refer to:,https://en.wikipedia.org/wiki/The_Producers
The Rage: Carrie 2,21000000,1999-03-11,17762705.0,1.1822523652788244,4.766591,"[{'name': 'United Artists', 'id': 60}, {'name': 'Red Bank Films', 'id': 2229}]",| starring       =,https://en.wikipedia.org/wiki/The_Rage:_Carrie_2
The Tale of Despereaux,60000000,2008-12-19,50877145.0,1.1793114570402878,12.364578999999999,"[{'name': 'Larger Than Life Productions', 'id': 1163}]","The Tale of Despereaux is a 2003 children's fantasy book written by Kate DiCamillo. The main plot follows the adventures of a mouse named Despereaux Tilling, as he sets out on his quest to rescue a beautiful human princess from the rats.",https://en.wikipedia.org/wiki/The_Tale_of_Despereaux
Death Sentence,20000000,2007-08-31,16974459.0,1.1782407910614412,6.612175,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Dune Entertainment', 'id': 444}, {'name': 'Baldwin Entertainment Group', 'id': 2234}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'Brass Hat Films', 'id': 13817}]",,
Dark Water,30000000,2005-06-27,25473093.0,1.1777132835812283,6.53565,"[{'name': 'Vertigo Entertainment', 'id': 829}, {'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Post No Bills Films', 'id': 49696}, {'name': 'Pandemonium Productions', 'id': 49697}]",Dark Water may refer to:,https://en.wikipedia.org/wiki/Dark_Water
Mimic,30000000,1997-08-22,25480490.0,1.1773713927793383,9.128905,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Dimension Films', 'id': 7405}]",,
The Black Cauldron,25000000,1985-07-24,21288692.0,1.1743323638671648,9.806685,"[{'name': 'Walt Disney Pictures', 'id': 2}, {'name': 'Silver Screen Partners II', 'id': 10531}]",The Black Cauldron may refer to:,https://en.wikipedia.org/wiki/The_Black_Cauldron
Last Holiday,45000000,2006-01-13,38399961.0,1.1718761901867556,5.53836,"[{'name': 'Paramount Pictures', 'id': 4}]",Last Holiday may refer to:,https://en.wikipedia.org/wiki/Last_Holiday
The Four Feathers,35000000,2002-09-08,29882645.0,1.171248395180547,6.894153,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Miramax Films', 'id': 14}, {'name': 'Marty Katz Productions', 'id': 12552}, {'name': 'Jaffilms Inc.', 'id': 14160}, {'name': 'Dune Films', 'id': 19477}, {'name': 'Belhaven Limited', 'id': 36612}]",The Four Feathers is a 1902 adventure novel by British writer A. E.,https://en.wikipedia.org/wiki/The_Four_Feathers
Victor Frankenstein,40000000,2015-11-10,34227298.0,1.1686578356258213,9.447808,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Davis Entertainment', 'id': 1302}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}, {'name': 'TSG Entertainment', 'id': 22213}]","Victor Frankenstein is the protagonist in Mary Shelley's 1818 novel, Frankenstein; or, The Modern Prometheus. He is an Italian-Swiss scientist (born in Naples, Italy) who, after studying chemical processes and the decay of living things, gains an insight into the creation of life and gives life to his own creature (often referred to as Frankenstein's monster, or often colloquially referred to as simply ""Frankenstein"").",https://en.wikipedia.org/wiki/Victor_Frankenstein
Basic,50000000,2003-04-18,42792561.0,1.1684273815722317,14.327717000000002,"[{'name': 'Intermedia Films', 'id': 763}, {'name': 'Krane Entertainment', 'id': 25358}]",Basic or BASIC may refer to:,https://en.wikipedia.org/wiki/Basic
Pan,150000000,2015-09-24,128388320.0,1.1683305771116874,11.30428,"[{'name': 'Warner Bros.', 'id': 6194}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}, {'name': 'Berlanti Productions', 'id': 27711}, {'name': 'RatPac-Dune Entertainment', 'id': 41624}]",Pan may refer to:,https://en.wikipedia.org/wiki/Pan
Looney Tunes: Back in Action,80000000,2003-11-14,68514844.0,1.1676301853653785,13.666488000000001,"[{'name': 'Lonely Film Productions GmbH & Co. KG.', 'id': 430}, {'name': 'Warner Bros. Animation', 'id': 2785}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Goldmann Pictures', 'id': 12006}, {'name': 'Baltimore Spring Creek Productions', 'id': 16061}, {'name': 'Warner Bros. Feature Animation', 'id': 20734}]",| based_on       =,https://en.wikipedia.org/wiki/Looney_Tunes:_Back_in_Action
47 Ronin,175000000,2013-12-06,150962475.0,1.159228477143078,14.889370000000001,"[{'name': 'Mid Atlantic Films', 'id': 2735}, {'name': 'Stuber Productions', 'id': 4403}, {'name': 'Universal', 'id': 6292}, {'name': 'Moving Picture Company (MPC)', 'id': 20478}, {'name': 'H2F Entertainment', 'id': 20851}]",,
He Got Game,25000000,1998-05-01,21567853.0,1.1591325293250099,13.06943,"[{'name': '40 Acres & A Mule Filmworks', 'id': 4319}, {'name': 'Touchstone Pictures', 'id': 9195}]",| cinematography = Malik Hassan Sayeed,https://en.wikipedia.org/wiki/He_Got_Game
The Road,32000000,2009-11-25,27635305.0,1.1579390927655766,14.958098000000001,"[{'name': '2929 Productions', 'id': 846}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Nick Wechsler Productions', 'id': 8073}, {'name': 'Chockstone Pictures', 'id': 13649}]",| publisher     = Alfred A. Knopf,https://en.wikipedia.org/wiki/The_Road
12 Rounds,20000000,2009-03-19,17280326.0,1.15738557247126,13.591485,"[{'name': 'The Mark Gordon Company', 'id': 1557}, {'name': 'Fox Atomic', 'id': 2890}, {'name': '20th Century Fox Home Entertainment', 'id': 3635}, {'name': 'WWE Studios', 'id': 10339}, {'name': 'Midnight Sun Pictures', 'id': 17887}]","12 Rounds is a British rock band formed by Atticus Ross and singer Claudia Sarne, who are married. After the release of their first album, Jitter Juice, they toured with the Sneaker Pimps.",https://en.wikipedia.org/wiki/12_Rounds
Red Tails,58000000,2012-01-19,50365377.0,1.1515847483877664,7.145835000000001,"[{'name': 'Lucasfilm', 'id': 1}, {'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Partnership Pictures', 'id': 22883}]",Red tail}},https://en.wikipedia.org/wiki/Red_Tails
Monte Carlo,20000000,2011-07-01,17425000.0,1.1477761836441893,8.34835,"[{'name': 'Dune Entertainment', 'id': 444}, {'name': 'Regency Enterprises', 'id': 508}, {'name': 'Fox 2000 Pictures', 'id': 711}, {'name': 'DiNovi Pictures', 'id': 813}, {'name': 'Dune Entertainment III', 'id': 6332}, {'name': 'Blossom Films', 'id': 32537}]",}},https://en.wikipedia.org/wiki/Monte_Carlo
A Guy Thing,20000000,2003-01-17,17432163.0,1.1473045542311646,4.444724,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'David Ladd Films', 'id': 21447}]",| runtime        = 101 minutes,https://en.wikipedia.org/wiki/A_Guy_Thing
Capitalism: A Love Story,20000000,2009-09-06,17436509.0,1.1470185918523026,6.032166,"[{'name': 'The Weinstein Company', 'id': 308}, {'name': 'Paramount Vantage', 'id': 838}]",| writer = Michael Moore,https://en.wikipedia.org/wiki/Capitalism:_A_Love_Story
Dragonfly,60000000,2002-02-22,52322400.0,1.1467363882390715,4.924078,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Shady Acres Entertainment', 'id': 159}, {'name': 'Gran Via Productions', 'id': 2605}, {'name': 'Kalima Productions GmbH & Co. KG', 'id': 7385}, {'name': 'NDE Productions', 'id': 20352}]",| image             = Sympetrum flaveolum - side (aka).jpg,https://en.wikipedia.org/wiki/Dragonfly
Two for the Money,35000000,2005-10-07,30526509.0,1.1465444673021734,9.003792,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Morgan Creek Productions', 'id': 10210}]",Two for the Money may refer to:,https://en.wikipedia.org/wiki/Two_for_the_Money
Killer Elite,66000000,2011-09-23,57777106.0,1.142320973985786,8.046632,"[{'name': 'Current Entertainment', 'id': 972}, {'name': 'Omnilab Media', 'id': 2729}, {'name': 'Ambience Entertainment', 'id': 3427}, {'name': 'International Traders', 'id': 6408}, {'name': 'Open Road Films', 'id': 10427}, {'name': 'Sighvatsson Films', 'id': 11369}, {'name': 'Palomar Pictures (II)', 'id': 11371}, {'name': 'Film Victoria', 'id': 11840}, {'name': 'Wales Creative IP Fund', 'id': 11841}]",Killer Elite may refer to:,https://en.wikipedia.org/wiki/Killer_Elite
The Legend of Hercules,70000000,2014-01-10,61279452.0,1.1423078652857406,6.599539,"[{'name': 'Millennium Films', 'id': 10254}]",| writer         =,https://en.wikipedia.org/wiki/The_Legend_of_Hercules
The Wiz,24000000,1978-10-24,21049053.0,1.1401938129948175,4.233080999999999,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Motown Productions', 'id': 2730}]",| book        = William F. Brown,https://en.wikipedia.org/wiki/The_Wiz
The Aviator,116000000,2004-12-17,102000000.0,1.1372549019607843,9.86738,"[{'name': 'Miramax Films', 'id': 14}, {'name': 'Appian Way', 'id': 562}, {'name': 'Forward Pass', 'id': 675}, {'name': 'Cappa Productions', 'id': 691}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Initial Entertainment Group (IEG)', 'id': 7380}, {'name': 'IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG', 'id': 19116}, {'name': ""Mel's Cite du Cinema"", 'id': 54502}]",,
Saving Silverman,22000000,2001-02-09,19351569.0,1.13685872189485,8.526823,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Columbia Pictures Corporation', 'id': 441}]",| runtime        = 90 minutes,https://en.wikipedia.org/wiki/Saving_Silverman
Mobsters,23000000,1991-07-26,20246790.0,1.135982543405646,12.511561,"[{'name': 'Universal Pictures', 'id': 33}]",,
Frantic,20000000,1988-02-16,17637950.0,1.133918624329925,8.105858999999999,"[{'name': 'The Mount Company', 'id': 1312}, {'name': 'Warner Bros.', 'id': 6194}]",Frantic may refer to:,https://en.wikipedia.org/wiki/Frantic
The Master,32000000,2012-09-07,28258060.0,1.1324202723046097,8.074218,"[{'name': 'Ghoulardi Film Company', 'id': 178}, {'name': 'The Weinstein Company', 'id': 308}, {'name': 'Annapurna Pictures', 'id': 13184}]",,
Ella Enchanted,31000000,2004-04-09,27388767.0,1.1318508788657773,11.316988,"[{'name': 'World 2000 Entertainment', 'id': 7692}, {'name': 'Enchanted Productions', 'id': 85437}]","Ella Enchanted is a Newbery HonorNewbery Medal and Honor Books, 1922-Present. Association for Library Service to Children.",https://en.wikipedia.org/wiki/Ella_Enchanted
Don Juan DeMarco,25000000,1994-10-01,22200000.0,1.1261261261261262,7.438934,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'American Zoetrope', 'id': 70}]",| music          = Michael Kamen,https://en.wikipedia.org/wiki/Don_Juan_DeMarco
Premium Rush,35000000,2012-08-24,31083599.0,1.1259957381383026,5.654783999999999,"[{'name': 'Pariah Entertainment Group', 'id': 1271}]",| music          = David Sardy,https://en.wikipedia.org/wiki/Premium_Rush
Into the Blue,50000000,2005-09-30,44434439.0,1.1252533198404957,10.022102,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Mandalay Pictures', 'id': 551}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",Into the Blue may refer to:,https://en.wikipedia.org/wiki/Into_the_Blue
School for Scoundrels,20000000,2006-09-29,17807569.0,1.1231179281124786,10.725567,"[{'name': 'Dimension Films', 'id': 7405}]",School for Scoundrels may refer to:,https://en.wikipedia.org/wiki/School_for_Scoundrels
The Negotiator,50000000,1998-07-29,44547681.0,1.122392880563188,7.6550199999999995,"[{'name': 'Regency Enterprises', 'id': 508}, {'name': 'Warner Bros.', 'id': 6194}]",| writer         =,https://en.wikipedia.org/wiki/The_Negotiator
The Invisible,30000000,2007-04-27,26810113.0,1.118980736858513,6.097503,"[{'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Hollywood Pictures', 'id': 915}, {'name': 'Sonet Film AB', 'id': 7937}, {'name': 'Macari/Edelstein', 'id': 24902}, {'name': 'Birnbaum / Barber Productions', 'id': 58262}, {'name': 'Limbo Productions', 'id': 89895}]",The Invisible may refer to:,https://en.wikipedia.org/wiki/The_Invisible
Bedknobs and Broomsticks,20000000,1971-10-07,17900000.0,1.1173184357541899,10.362012,"[{'name': 'Walt Disney Productions', 'id': 3166}]",| based_on       =,https://en.wikipedia.org/wiki/Bedknobs_and_Broomsticks
Rendition,27500000,2007-09-07,24748670.0,1.1111708225128865,13.482558,"[{'name': 'Anonymous Content', 'id': 10039}, {'name': 'Level 1 Entertainment', 'id': 10040}, {'name': 'MID Foundation', 'id': 20666}]",Rendition or Renditions may refer to:,https://en.wikipedia.org/wiki/Rendition
Hanging Up,40000000,2000-02-16,36037909.0,1.10994231102587,6.474767,"[{'name': 'Laurence Mark Productions', 'id': 415}, {'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Global Entertainment Productions GmbH & Company Medien KG', 'id': 9269}, {'name': 'Nora Ephron Productions', 'id': 67153}]",|starring        =,https://en.wikipedia.org/wiki/Hanging_Up
Bandits,75000000,2001-10-12,67631903.0,1.1089441029036253,13.136791,"[{'name': 'Cheyenne Enterprises', 'id': 890}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Empire Pictures', 'id': 1212}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Hyde Park Entertainment', 'id': 13816}, {'name': 'Baltimore Spring Creek Productions', 'id': 16061}, {'name': 'Lotus Pictures', 'id': 52944}]",,
For Richer or Poorer,35000000,1997-12-11,31611225.0,1.1072016348622997,8.412203,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Yorktown Productions', 'id': 1484}, {'name': 'The Bubble Factory', 'id': 27128}, {'name': 'Sheinberg Productions', 'id': 38664}]",| music          = Randy Edelman,https://en.wikipedia.org/wiki/For_Richer_or_Poorer
Tristan & Isolde,31000000,2006-04-07,28000000.0,1.1071428571428572,15.672195,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Epsilon Motion Pictures', 'id': 1171}, {'name': 'Franchise Pictures', 'id': 1403}, {'name': 'Scott Free Productions', 'id': 1645}, {'name': 'World 2000 Entertainment', 'id': 7692}, {'name': 'Stillking Films', 'id': 11345}, {'name': 'ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I)', 'id': 19951}, {'name': 'QI Quality International GmbH & Co. KG', 'id': 19952}]",,
Bulletproof,25000000,1996-09-06,22611954.0,1.1056098911221914,7.859132000000001,"[{'name': 'Universal Pictures', 'id': 33}]",,
Frankenweenie,39000000,2012-10-04,35287788.0,1.1051982062463082,10.296047,"[{'name': 'Tim Burton Productions', 'id': 8601}]",Frankenweenie may refer to:,https://en.wikipedia.org/wiki/Frankenweenie
The Doors,38000000,1991-03-01,34416893.0,1.1041089618403381,7.829619,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Ixtlan Productions', 'id': 525}, {'name': 'Carolco Pictures', 'id': 14723}, {'name': 'Bill Graham Films', 'id': 78806}]",||acid rock}},https://en.wikipedia.org/wiki/The_Doors
Pompeii,130000000,2014-02-18,117831631.0,1.103269121344845,12.204174,"[{'name': 'Impact Pictures', 'id': 248}, {'name': 'TriStar Pictures', 'id': 559}, {'name': 'Don Carmody Productions', 'id': 4253}, {'name': 'FilmDistrict', 'id': 7263}, {'name': 'Constantin Film International', 'id': 12162}]","| location = Pompei, Province of Naples, Campania, Italy",https://en.wikipedia.org/wiki/Pompeii
1941,35000000,1979-12-13,31755742.0,1.1021628781339765,7.812378999999999,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Universal Pictures', 'id': 33}, {'name': 'A-Team', 'id': 6128}]",==Events==,https://en.wikipedia.org/wiki/1941
Simon Birch,20000000,1998-09-11,18253415.0,1.0956853827078386,2.651408,"[{'name': 'Caravan Pictures', 'id': 175}, {'name': 'Hollywood Pictures', 'id': 915}]",| narrator       =,https://en.wikipedia.org/wiki/Simon_Birch
Elizabethtown,57000000,2005-10-06,52034889.0,1.0954188832804084,11.82081,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Cruise/Wagner Productions', 'id': 44}, {'name': 'Vinyl Films', 'id': 485}, {'name': 'KMP Film Invest', 'id': 20157}]","Elizabethtown, Elizabeth Town, or similar may refer to:",https://en.wikipedia.org/wiki/Elizabethtown
The Incredible Burt Wonderstone,30000000,2013-03-14,27437881.0,1.0933788946748475,9.385769,"[{'name': 'New Line Cinema', 'id': 12}, {'name': 'Benderspink', 'id': 11175}, {'name': 'Carousel Productions', 'id': 11176}]",| screenplay     =,https://en.wikipedia.org/wiki/The_Incredible_Burt_Wonderstone
Showtime,85000000,2002-03-14,77741732.0,1.0933638576511262,4.917863,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Tribeca Productions', 'id': 11391}, {'name': 'Overbrook Entertainment', 'id': 12485}, {'name': 'Material', 'id': 67989}]",Showtime or Show Time may refer to:,https://en.wikipedia.org/wiki/Showtime
Analyze That,60000000,2002-12-06,55003135.0,1.0908469126350706,9.927412,"[{'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'NPV Entertainment', 'id': 172}, {'name': 'Warner Bros.', 'id': 6194}, {'name': 'Tribeca Productions', 'id': 11391}, {'name': 'Baltimore Spring Creek Pictures', 'id': 14719}, {'name': 'Face Productions', 'id': 48638}]",| director = Harold Ramis,https://en.wikipedia.org/wiki/Analyze_That
Life,80000000,1999-04-16,73345029.0,1.090735133528954,7.5794440000000005,"[{'name': 'Imagine Entertainment', 'id': 23}, {'name': 'Universal Pictures', 'id': 33}]",Hadean - Present,https://en.wikipedia.org/wiki/Life
Sahara,130000000,2005-04-06,119269486.0,1.089968644620469,8.946242999999999,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'Bristol Bay Productions', 'id': 2233}, {'name': 'Baldwin Entertainment Group', 'id': 2234}, {'name': 'Desertlands Entertainment', 'id': 2235}, {'name': 'Mace Neufeld Productions', 'id': 2767}, {'name': 'Kanzaman', 'id': 4169}, {'name': 'J.K. Livin Productions', 'id': 12124}, {'name': 'Moguletta', 'id': 12125}, {'name': 'Sahara Productions', 'id': 12126}, {'name': 'Babelsberg Film', 'id': 19481}]",| coordinates_ref    =,https://en.wikipedia.org/wiki/Sahara
Goal!: The Dream Begins,30000000,2005-06-06,27610873.0,1.0865284846299499,9.783762,"[{'name': 'Touchstone Pictures', 'id': 9195}, {'name': 'Milkshake Films', 'id': 17491}, {'name': 'Hargitay & Hargitay Pictures in Motion', 'id': 17492}]",,
Children of Men,76000000,2006-09-22,69959751.0,1.0863389150713243,14.114606,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Strike Entertainment', 'id': 655}, {'name': 'Hit & Run Productions', 'id': 11429}]",| screenplay     =,https://en.wikipedia.org/wiki/Children_of_Men
Lock Up,24000000,1989-08-04,22099847.0,1.0859803690043646,4.701379,"[{'name': 'TriStar Pictures', 'id': 559}, {'name': 'Gordon Company', 'id': 1073}, {'name': 'Carolco Pictures', 'id': 14723}, {'name': 'White Eagle', 'id': 21919}]",,
Ladyhawke,20000000,1985-03-27,18432000.0,1.0850694444444444,8.157587,"[{'name': 'Twentieth Century Fox Film Corporation', 'id': 306}, {'name': 'Warner Bros.', 'id': 6194}]",Ladyhawke or Ladyhawk may refer to:,https://en.wikipedia.org/wiki/Ladyhawke
